id	char
770	缕
771	缘
772	缠
773	网
774	罩
775	美
776	群
777	翔
778	翠
779	翻
780	耀
781	老
782	考
783	而
784	耐
785	耕
786	耗
787	耘
788	耳
789	聚
790	肆
791	肉
792	肠
793	肯
794	背
795	胸
796	能
797	脆
798	脑
799	脚
800	脱
801	脸
802	腐
803	腹
804	腾
805	臂
806	自
807	舍
808	舒
809	舞
810	般
811	船
812	良
813	色
814	节
815	芜
816	芬
817	花
818	芳
819	苍
820	苏
821	若
822	苦
823	茫
824	茵
825	荆
826	草
827	荒
828	荡
829	莫
830	获
831	萋
832	营
833	落
834	蒸
835	蓝
836	蔚
837	蕊
838	薄
839	藏
840	虔
841	虹
842	虽
843	蜜
844	融
845	蠢
846	血
847	行
848	表
849	衰
850	衷
851	袖
852	被
853	装
854	西
855	要
856	覆
857	见
858	观
859	觅
860	视
861	觉
862	角
863	解
864	言
865	誓
866	计
867	认
868	让
869	记
870	许
871	证
872	诉
873	诗
874	诚
875	话
876	详
877	语
878	说
879	请
880	谁
881	谅
882	谈
883	谎
884	谓
885	谢
886	谣
887	谷
888	象
889	贝
890	贤
891	赖
892	赛
893	赢
894	赫
895	走
896	赴
897	赶
898	起
899	超
900	越
901	足
902	跋
903	跑
904	距
905	跟
906	路
907	踏
908	身
909	车
910	转
911	软
912	轻
913	较
914	辉
915	辛
916	辰
917	边
918	达
919	过
920	运
921	近
922	返
923	还
924	这
925	进
926	远
927	连
928	迟
929	迷
930	迹
931	追
932	退
933	送
934	逆
935	透
936	逐
937	递
938	途
939	逗
940	通
941	速
942	遇
943	遍
944	道
945	遗
946	遥
947	那
948	邮
949	都
950	酒
951	醉
952	醒
953	释
954	里
955	重
956	野
957	量
958	金
959	铺
960	错
961	长
962	门
963	闪
964	闭
965	问
966	间
967	阑
968	阔
969	阳
970	阴
971	阵
972	阻
973	际
974	陌
975	降
976	除
977	险
978	陪
979	陷
980	随
981	隐
982	隔
983	难
984	雨
985	雪
986	雷
987	雾
988	需
989	霓
990	霜
991	霞
992	露
993	霾
994	青
995	静
996	非
997	靠
998	面
999	鞭
1000	音
1001	顶
1002	顺
1003	顾
1004	领
1005	颗
1006	颜
1007	风
1008	飘
1009	飞
1010	饮
1011	首
1012	香
1013	马
1014	驰
1015	骂
1016	骄
1017	验
1018	骨
1019	高
1020	鬓
1021	魂
1022	鱼
1023	鲜
1024	鸟
1025	鸣
1026	鹰
1027	麦
1028	麻
1029	黄
1030	黑
1031	默
1032	黯
1033	鼓
1034	鼻
1035	（
1036	）
1037	，
